Department,Items,Link,With name and description,With Image
,"Safetec Lip Balm 0.5 Gram Individual Packet 53123, 144 Ct",https://www.kroger.com/p/safetec-lip-balm-0-5-gram-individual-packet-53123-144-ct/0077219508692?searchType=default_search,Unknown,Unknown
,Its Delish 100% Natural Cocoa Butter,https://www.kroger.com/p/its-delish-100-natural-cocoa-butter/0371194410233?searchType=default_search,Cocoa (0.95),Unknown
Pets,Ultra Chewy Peanut Butter Flavored Double Treat Bone,https://www.kroger.com/p/ultra-chewy-peanut-butter-flavored-double-treat-bone/0087786900802?searchType=default_search,Peanut Butter (0.95),Peanut Butter (0.9)
Health,Olly® Glowing Skin Hyaluronic Acid Collagen & Sea Buckthorn Gummies,https://www.kroger.com/p/olly-glowing-skin-hyaluronic-acid-collagen-sea-buckthorn-gummies/0085815800542?searchType=default_search,Glowing Skin (0.9),Glowing Skin (0.8)
,Nature Made® Energy B12 Cherry & Mixed Berries Gummies 1000 mcg,https://www.kroger.com/p/nature-made-energy-b12-cherry-mixed-berries-gummies-1000-mcg/0003160402953?searchType=default_search,Cherry & Mixed Berries (0.95),Energy B12 Gummies (0.8)
Natural Food,Cascadian Farm Organic Cinnamon Crunch Cereal,https://www.kroger.com/p/cascadian-farm-organic-cinnamon-crunch-cereal/1002190845556?searchType=no_suggestions, , 
,Kettle Brand® Jalapeno Kettle Potato Chips,https://www.kroger.com/p/kettle-brand-jalapeno-kettle-potato-chips/0008411490204?searchType=default_search, , 
Candy,Trident Original Flavor Sugar Free Gum 14 Pcs - 24 Packs,https://www.kroger.com/p/trident-original-flavor-sugar-free-gum-14-pcs-24-packs/0371193411299?searchType=no_suggestions, , 
,PAYDAY Peanut Caramel King Size Candy Bar,https://www.kroger.com/p/payday-peanut-caramel-king-size-candy-bar/0001070080727?searchType=default_search, , 
,Tic Tac Freshmints Breath Mints,https://www.kroger.com/p/tic-tac-freshmints-breath-mints/0000980000761?searchType=default_search, , 
,LILY'S Assorted Sour Fruit Flavored Gummy Worms Bag,https://www.kroger.com/p/lily-s-assorted-sour-fruit-flavored-gummy-worms-bag/0081000346208?searchType=no_suggestions, , 
Bakery,Kimberley's Bakeshoppe™ Pumpkin Spice Filled Gourmet Cupcakes,https://www.kroger.com/p/kimberley-s-bakeshoppe-pumpkin-spice-filled-gourmet-cupcakes/0077098131224?searchType=no_suggestions, , 
,Entenmann's Little Bites Party Cake Mini Muffin Pouches,https://www.kroger.com/p/entenmann-s-little-bites-party-cake-mini-muffin-pouches/0007203002209?searchType=default_search, , 
,Bakery Fresh Goodness Yellow Cake With Chocolate Buttercreme Icing,https://www.kroger.com/p/bakery-fresh-goodness-yellow-cake-with-chocolate-buttercreme-icing/0001111018620?searchType=default_search, , 
Chips,Takis Fuego Hot Chili Pepper & Lime Rolled Tortilla Chips,https://www.kroger.com/p/takis-fuego-hot-chili-pepper-lime-rolled-tortilla-chips/0075752800868?searchType=no_suggestions, , 
,Goldfish Cheddar Cheese Crackers,https://www.kroger.com/p/goldfish-cheddar-cheese-crackers/0001410008547?searchType=no_suggestions, , 
,Pepperidge Farm® Milano® Raspberry Chocolate Sandwich Cookies,https://www.kroger.com/p/pepperidge-farm-milano-raspberry-chocolate-sandwich-cookies/0001410007481?searchType=no_suggestions, , 
,Orville Redenbacher's® Movie Theater Butter Microwave Popcorn,https://www.kroger.com/p/orville-redenbacher-s-movie-theater-butter-microwave-popcorn/0002700037242?searchType=no_suggestions, , 
