GTIN,DESCRIPTION,DEPARTMENT,COMMODITY,ITEM_SUBMISSION_DATE
00071249083321,"L'Oreal Paris Colour Riche Original Satin Lipstick for Moisturized Lips, Tropical Coral, 0.13 oz",Beauty,Makeup,2023-12-13 09:31:00.000
00888109110161,"HOSTESS Banana TWINKIES, Creamy Banana Flavored Filling, Individually Wrapped 10 count, 13.58 oz",Pantry,Snacks,2024-01-11 09:40:00.000
00078300099239,SPORT 36CT UNSCENT SUPER 4/3,Personal Care,Feminine Care,2024-01-12 19:57:00.000
00078300069867,CF BODYSHAPE LONG IFW OC 42,Personal Care,Feminine Care,2024-01-19 10:09:00.000
10052100157464,MCCORMICK BAG 'N SEASON ORIGINAL CHICKEN,Pantry,Spices & Seasonings,2023-12-08 06:16:00.000
00022400643366,TRESemmé Hair Spray Extra Hold 10 FO,Beauty,Hair Care,2024-01-15 07:02:00.000
00022400643366,TRESemmé Hair Spray Extra Hold 10 FO,Personal Care,Hair Care,2024-01-15 07:02:00.000
00036000192025,POISE LT ABSORB PAD FRESH PROTECTION REG PK 30,Personal Care,Incontinence,2024-01-22 12:20:00.000
00038000183713,Pringles Crisps BBQ 5.5oz,Pantry,Snacks,2024-01-23 16:34:00.000
00013562494033,Annie's Organic Cheddar Bunnies Baked Snack Crackers Individual Packs 12 Count,Pantry,Snacks,2024-01-10 06:12:00.000
00046000101514,Old El Paso White Corn with a Hint of Lime Stand 'n Stuff Taco Shells 10 Count,Pantry,"Bread, Buns & Rolls",2024-01-08 06:16:00.000
00020000111964,GREEN GIANT GREEN BEANS FRENCH STYLE,Pantry,Canned Foods,2024-01-03 09:36:00.000
00014100095408,"Pepperidge Farm Snowball Citrus Cookies, 5.5-oz. Bag",Pantry,Cookies,2024-01-18 06:17:00.000
10041196453857,Progresso Rich & Hearty Creamy Roasted Chicken Wild Rice Soup,Pantry,Canned Foods,2024-01-18 10:48:00.000
00021908406763,Cascadian Farm Organic Vanilla Chip Chewy Granola Bars,Pantry,Snacks,2024-01-10 06:04:00.000
00016000193703,Gardetto's Original Recipe Snack Mix,Pantry,Snacks,2024-01-04 16:32:00.000
00016000439801,Nature Valley Fruit & Nut Trail Mix Chewy Trail Mix Granola Bars 6 Count,Pantry,Snacks,2024-01-23 12:17:00.000
00016000439894,Nature Valley Trail Mix Fruit & Nut Chewy Granola Bar,Pantry,Snacks,2024-01-23 12:17:00.000
00021908453156,Larabar Cherry Pie Fruit & Nut Bar 16 Count,Pantry,Snacks,2024-01-15 12:03:00.000
00021908509273,Larabar Apple Pie Fruit & Nut Bar,Pantry,Snacks,2024-01-23 12:19:00.000
00017000030166,Dial Foaming Hand Wash AB Power Berries 6/7.5 floz US,Personal Care,Hand Soap & Sanitizer,2023-12-01 08:51:00.000
00079400266545,Dove Men+Care Shampoo 2n1 Fresh Clean 355 ML,Beauty,Hair Care,2024-01-11 06:22:00.000
00079400266545,Dove Men+Care Shampoo 2n1 Fresh Clean 355 ML,Personal Care,Hair Care,2024-01-11 06:22:00.000
00079400266545,Dove Men+Care Shampoo 2n1 Fresh Clean 355 ML,Personal Care,Hair Care,2024-01-11 06:22:00.000
00079400266545,Dove Men+Care Shampoo 2n1 Fresh Clean 355 ML,Personal Care,Hair Care,2024-01-11 06:22:00.000
00079400266545,Dove Men+Care Shampoo 2n1 Fresh Clean 355 ML,Beauty,Hair Care,2024-01-11 06:22:00.000
00019200793292,"LYSOL,US,DS-CRSP LINEN 12/19OZ",Cleaning and Household,Cleaning Supplies,2024-01-16 12:01:00.000
00072323050772,Don Francisco's Family Reserve Vanilla nut Single Serve 12ct. Coffee,Beverages,Coffee,2024-01-08 15:04:00.000
00095008011042,"essie salon-quality nail polish, vegan, bright red, She's Pampered, 0.46 fl oz",Beauty,Makeup,2023-12-15 12:43:00.000
00016000285583,Betty Crocker Loaded Potato Casserole,Pantry,Packaged Meals & Sides,2024-01-02 11:17:00.000
00012000387807,Lipton Half & Half Iced Tea Lemonade 16.9 Fl Oz 12 Count,Beverages,Tea & Kombucha,2023-12-21 15:30:00.000
00012000387807,Lipton Half & Half Iced Tea Lemonade 16.9 Fl Oz 12 Count,Beverages,Juice,2023-12-21 15:30:00.000
00014100093688,"Pepperidge Farm Linzer Raspberry Cookies, 6-oz. Bag",Pantry,Cookies,2024-01-18 06:03:00.000
00051000233158,"SpaghettiOs Super Mario Bros Canned Pasta with Meatballs, 15.6 oz Can",Pantry,Canned Foods,2023-12-04 07:01:00.000
00041554220087,Instant Age Rewind Eraser Foundation,Beauty,Makeup,2023-12-05 12:49:00.000
00071249207284,"L'Oreal Paris Elvive Color Vibrancy Protecting Conditioner with Anti-Oxidants, 12.6 fl oz",Beauty,Hair Care,2024-01-17 19:32:00.000
00071249207284,"L'Oreal Paris Elvive Color Vibrancy Protecting Conditioner with Anti-Oxidants, 12.6 fl oz",Personal Care,Hair Care,2024-01-17 19:32:00.000
00071691405368,OS 14.0C/3.3L EFL SQR 2CS -RACRD,Kitchen & Dining,Food Storage,2023-12-18 09:41:00.000
00041911000505,Sprayway Foaming Glass Cleaner Aerosol Fresh Scent 19 oz.,Cleaning and Household,Cleaning Supplies,2024-01-02 14:56:00.000
00747599607219,Ghirardelli Intense Dark Chocolate Bar - 72% Cacao – Dark chocolate with hints of blackberry and cherry,Candy,Premium Chocolate,2024-01-19 15:08:00.000
00747599607219,Ghirardelli Intense Dark Chocolate Bar - 72% Cacao – Dark chocolate with hints of blackberry and cherry,Candy,Premium Chocolate,2024-01-19 15:08:00.000
00012000007590,Brisk Iced Tea Lemon 12 Fl Oz,Beverages,Tea & Kombucha,2023-12-01 16:02:00.000
00013562302284,Annie's Organic White Cheddar Bunnies Baked Snack Crackers,Pantry,Snacks,2023-12-21 06:06:00.000
00039400017790,Bush's Reduced Sodium Great Northern Beans 15.8 oz,Pantry,Canned Foods,2024-01-07 07:11:00.000
00014100085478,"Goldfish Cheddar Cheese Crackers, 6.6 oz Bag",Pantry,Snacks,2024-01-19 17:37:00.000
00041460399945,Pioneer Roasted Pork Gravy Mix,Pantry,Condiments & Salad Dressings,2023-12-19 14:44:00.000
00047400301061,"Gillette Venus ComfortGlide White Tea Scented Women's Disposable Razor, 2 Count",Personal Care,Shaving & Hair Removal,2024-01-09 13:12:00.000
00043000046487,"Maxwell House Medium Roast Original Roast Ground Coffee, 30.6 oz. Canister",Beverages,Coffee,2024-01-18 11:57:00.000
00016000306509,Betty Crocker Chocolate Chip Cookie Mix,Pantry,Baking & Cooking,2024-01-23 12:19:00.000
00041196453850,Progresso Rich & Hearty Creamy Roasted Chicken Wild Rice Gluten-Free Canned Soup,Pantry,Canned Foods,2024-01-18 10:48:00.000
00036000038002,U BY KOTEX PREM ULTRATHN REG PAD 22,Personal Care,Feminine Care,2023-12-14 09:37:00.000
00034000006656,ICE BREAKERS DUO STRAWBERRY FLAVORED MINTS TIN,Candy,Gum & Mints,2024-01-18 08:43:00.000
10017929000216,CASE WITH 12-4 OZ JARS OF RED STAR ACTIVE DRY YEAST,Pantry,Baking & Cooking,2024-01-10 07:42:00.000
10016000277073,Nature Valley Sweet & Salty Nut Peanut Granola Bars 6 Count,Pantry,Snacks,2024-01-08 23:11:00.000
00725342260713,Muir Glen Organic Diced Canned Tomatoes,Pantry,Canned Foods,2024-01-18 10:32:00.000
00051000014375,"Campbell's Condensed Old-Fashioned Tomato Rice Soup, 11 Ounce Can",Pantry,Canned Foods,2024-01-13 11:17:00.000
00028400589895,Cheetos Crunchy Cheese Flavored Snacks Flamin' Hot Flavored 8 1/2 Oz,Pantry,Snacks,2024-01-23 16:16:00.000
00028400590020,Cheetos Crunchy Cheese Flavored Snacks Flamin' Hot Limon Flavored 8 1/2 Oz,Pantry,Snacks,2024-01-23 16:16:00.000
10840515100393,Thinsters Coconut Cookie Thins,Pantry,Cookies,2023-12-04 08:47:00.000
00041196914153,Progresso Rich & Hearty New England Clam Chowder Gluten-Free Canned Soup,Pantry,Canned Foods,2024-01-02 11:01:00.000
00052000123241,Gatorade Thirst Quencher Variety Pack 12 Fl Oz 18 Count,Beverages,Sports Drinks,2024-01-09 19:08:00.000
00037700340624,16oz Comfort Cup by Chinet,Cleaning and Household,Disposable Tableware,2024-01-12 13:11:00.000
00071249357248,"L'Oreal Paris Infallible Pro-Last Waterproof, Up to 24HR Pencil Eyeliner, Black, 0.04 oz",Beauty,Makeup,2024-01-22 16:10:00.000
00071249081143,"L'Oreal Paris Colour Riche Lip Liner, Au Naturale, 0.01 oz",Beauty,Makeup,2023-12-13 09:31:00.000
00071249207291,"L'Oreal Paris Elvive Total Repair 5 Repairing Conditioner for Damaged Hair, 12.6 fl oz",Beauty,Hair Care,2024-01-17 19:32:00.000
00071249207291,"L'Oreal Paris Elvive Total Repair 5 Repairing Conditioner for Damaged Hair, 12.6 fl oz",Personal Care,Hair Care,2024-01-17 19:32:00.000
00037000953050,"Always Radiant pads with wings scented size 1 regular absorbency, 30 count",Personal Care,Feminine Care,2024-01-02 12:18:00.000
00037000889229,"Always Ultra Thin Extra Heavy Overnight Pads with Wings, Size 5, Extra Heavy Overnight, Unscented, 34 CT",Personal Care,Feminine Care,2024-01-09 08:44:00.000
00016000510487,Gold Medal All-Purpose Flour,Pantry,Baking & Cooking,2023-12-05 10:17:00.000
00026200461724,DAVID ORIGINAL SUNFLOWER SEEDS 5.25 OZ,Pantry,"Nuts, Trail Mix, & Seeds",2023-12-01 14:57:00.000
00031000670443,"P.F. Chang’s Home Menu Teriyaki Sauce, 14 OZ",Pantry,Condiments & Salad Dressings,2023-12-15 12:32:00.000
00051131769083,"Command™ Medium Designer Hooks, 2 Hooks, 4 Strips",Home Décor,Wall Décor,2024-01-03 14:29:00.000
10041196419334,Progresso Light Chicken & Dumpling Soup,Pantry,Canned Foods,2023-12-08 08:03:00.000
00046000288697,Old El Paso Original Taco Seasoning Mix Packet,Pantry,Spices & Seasonings,2024-01-23 12:48:00.000
00046000288697,Old El Paso Original Taco Seasoning Mix Packet,Pantry,International,2024-01-23 12:48:00.000
00071249318553,"L'Oreal Paris Magic Root Cover Up Gray Concealer Spray, Medium Brown, 2 oz",Personal Care,Hair Care,2024-01-22 17:00:00.000
00071249318553,"L'Oreal Paris Magic Root Cover Up Gray Concealer Spray, Medium Brown, 2 oz",Beauty,Hair Care,2024-01-22 17:00:00.000
00028400069656,Doritos Tortilla Chips Spicy Nacho Flavored 1 Oz,Pantry,Snacks,2024-01-18 09:35:00.000
00014100071051,"Pepperidge Farm Very Thin White Bread, 16 oz.",Pantry,"Bread, Buns & Rolls",2024-01-18 06:04:00.000
00014100070092,"Pepperidge Farm Jewish Rye & Pumpernickel Deli Swirl Bread, 16 oz. Bag",Pantry,"Bread, Buns & Rolls",2024-01-04 10:31:00.000
00034000296552,KIT KAT CRISP WAFERS IN MILK CHOCOLATE SNACK SIZE BAR 5-PACK,Candy,Chocolate,2024-01-09 12:27:00.000
00034000296552,KIT KAT CRISP WAFERS IN MILK CHOCOLATE SNACK SIZE BAR 5-PACK,Candy,Chocolate,2024-01-09 12:27:00.000
00036000039009,U BY KOTEX PREM ULTRATHN HVY PAD 20,Personal Care,Feminine Care,2023-12-14 09:37:00.000
00016000298606,Nature Valley Crunchy Granola Bar Variety Pack 12 Count,Pantry,Snacks,2024-01-23 12:03:00.000
00099555089998,"Green Mountain Coffee Roasters, Half- Caff, Medium Roast, Keurig Single-Serve K-Cup Coffee Pods, 12 Count",Beverages,Coffee,2024-01-03 12:28:00.000
00039400015925,Bush's Homestyle Baked Beans 16 oz,Pantry,Canned Foods,2024-01-07 07:10:00.000
00021908453040,Larabar Cashew Cookie Fruit & Nut Bars 16 Count,Pantry,Snacks,2024-01-15 12:03:00.000
00038778830321,Nature Nate’s® 100% Pure Raw and Unfiltered Honey,Pantry,"Spreads, Jelly & Honey",2024-01-23 09:36:00.000
00037000306597,"Always Ultra Thin Daytime Pads with Wings, Size 2, Long Super, Unscented, 32 CT",Personal Care,Feminine Care,2024-01-03 07:40:00.000
00037000944805,"Old Spice Men's Antiperspirant & Deodorant Sweat Defense Pure Sport Plus Stronger Swagger, 2.6oz",Personal Care,Deodorants/Antiperspirant,2024-01-22 08:32:00.000
00072323051229,Don Francisco's Family Reserve Hawiian Hazelnut Single Serve Coffee 12ct.,Beverages,Coffee,2024-01-23 11:31:00.000
00840515100044,Thinsters Crunchy Chocolate Chip Cookie Thins,Pantry,Cookies,2023-12-27 13:45:00.000
00072323050789,Don Francisco's Family Reserve Single Serve Kona Blend 12ct. Coffee,Beverages,Coffee,2024-01-08 15:04:00.000
00024100106851,Kellogg's Cheez It Crackers Original 12.4oz,Pantry,Snacks,2024-01-23 16:04:00.000
00014100048619,"Pepperidge Farm Milano Cookies, Dark Chocolate Sea Salt, 6 Oz Bag",Pantry,Cookies,2024-01-18 06:16:00.000
00014100048619,"Pepperidge Farm Milano Cookies, Dark Chocolate Sea Salt, 6 Oz Bag",Pantry,Cookies,2024-01-18 06:16:00.000
00381370039167,"Aveeno Stress Relief Moisturizing Lotion with Lavender Scent, 12 fl. oz",Personal Care,Body Moisturizers,2024-01-02 13:21:00.000
00381370039167,"Aveeno Stress Relief Moisturizing Lotion with Lavender Scent, 12 fl. oz",Beauty,Bath & Body,2024-01-02 13:21:00.000
00071249207277,"L'Oreal Paris Elvive Color Vibrancy Protecting Shampoo for Color Treated Hair, 12.6 fl oz",Beauty,Hair Care,2024-01-17 19:32:00.000
00071249207277,"L'Oreal Paris Elvive Color Vibrancy Protecting Shampoo for Color Treated Hair, 12.6 fl oz",Personal Care,Hair Care,2024-01-17 19:32:00.000
00071249104743,"L'Oreal Paris Telescopic Original Washable Intense Lengthening Mascara, Blackest Black, 0.27 fl oz",Beauty,Makeup,2024-01-18 17:17:00.000
00016000487642,Mott's Gluten-Free Assorted Fruit Snacks Family Size 40 Count,Pantry,Snacks,2024-01-23 12:23:00.000
00071249345931,"L'Oreal Paris Voluminous Original Washable Bold Eye Mascara, Cobalt Blue, 0.26 fl oz",Beauty,Makeup,2024-01-22 16:10:00.000
00046000811017,Old El Paso Gluten-Free Crunchy Taco Shells,Pantry,"Bread, Buns & Rolls",2024-01-23 13:19:00.000
00046000811017,Old El Paso Gluten-Free Crunchy Taco Shells,Pantry,International,2024-01-23 13:19:00.000
00036000133332,POISE VRY LT LINER FRESH PROTECTION 48,Personal Care,Incontinence,2024-01-22 12:20:00.000
00064144043064,CHEF BOYARDEE MINI RAVIOLI 15 OZ,Pantry,Canned Foods,2023-12-12 11:34:00.000
10013562460509,Annie's Gluten Free Double Chocolate Chip Granola Bars 5 Count,Pantry,Snacks,2024-01-23 13:19:00.000
00854088007297,Sticks - Pepperoni Flavor 1oz,Pantry,Snacks,2023-12-05 11:17:00.000
00022400643168,TRESemmé Hair Care Mousse Extra Hold 10.5 FO,Beauty,Hair Care,2024-01-15 07:04:00.000
00022400643168,TRESemmé Hair Care Mousse Extra Hold 10.5 FO,Personal Care,Hair Care,2024-01-15 07:04:00.000
00022400623665,TRESemmé Hair Care Mousse Curl 10.5 FO,Beauty,Hair Care,2024-01-15 07:02:00.000
00022400623665,TRESemmé Hair Care Mousse Curl 10.5 FO,Personal Care,Hair Care,2024-01-15 07:02:00.000
00013562302611,Annie’s Organic Friends Bunny Grahams Kid Snack,Pantry,Cookies,2024-01-23 13:18:00.000
00079694221121,Old Trapper - 10oz. Old Fashioned Beef Jerky,Pantry,Snacks,2024-01-08 08:10:00.000
00099555087925,"Green Mountain Coffee Roasters, Hazelnut, Light Roast, Keurig Single-Serve K-Cup Coffee Pods, 12 Count",Beverages,Coffee,2024-01-03 12:28:00.000
00861297000308,3.5oz Cocoa SkinnyDipped Almond,Candy,Healthier Options,2024-01-18 15:23:00.000
00861297000308,3.5oz Cocoa SkinnyDipped Almond,Candy,Healthier Options,2024-01-18 15:23:00.000
00016000431027,Nature Valley Sweet & Salty Nut Granola Bar Variety Pack 12 Count,Pantry,Snacks,2024-01-23 16:31:00.000
00016000423718,Fiber One 70 Calorie Chocolate Fudge Brownies 6 Count,Pantry,Snacks,2024-01-23 12:17:00.000
10016000264608,Nature Valley Crunchy Oats 'n Honey Granola Bars 6 Count,Pantry,Snacks,2024-01-23 12:03:00.000
00016000335301,Nature Valley Crunchy Oats 'n Honey Granola Bars 18 Count,Pantry,Snacks,2024-01-23 11:48:00.000
00016000264793,Nature Valley Crunchy Peanut Butter Granola Bar,Pantry,Snacks,2024-01-23 16:31:00.000
00016000459601,Betty Crocker Rich & Creamy Cream Cheese Frosting,Pantry,Baking & Cooking,2024-01-23 12:09:00.000
00021908453071,Larabar Peanut Butter Cookie Fruit & Nut Bars 16 Count,Pantry,Snacks,2023-12-13 14:46:00.000
00075486089894,HT Island Spt CS Snscrn SPF30,Personal Care,Sun & Tanning,2024-01-04 10:34:00.000
00075486089894,HT Island Spt CS Snscrn SPF30,Beauty,Sun & Tanning,2024-01-04 10:34:00.000
00040000004059,TWIX Caramel Chocolate Cookie Candy Bar Share Size 3.02 oz.,Candy,Chocolate,2023-12-18 10:55:00.000
00040000004059,TWIX Caramel Chocolate Cookie Candy Bar Share Size 3.02 oz.,Candy,Chocolate,2023-12-18 10:55:00.000
00040000002635,SNICKERS Milk Chocolate Candy Bar Share Size 3.29 oz,Candy,Chocolate,2024-01-17 08:25:00.000
00040000002635,SNICKERS Milk Chocolate Candy Bar Share Size 3.29 oz,Candy,Chocolate,2024-01-17 08:25:00.000
00071249357262,"L'Oreal Paris Infallible Pro-Last Waterproof, Up to 24HR Pencil Eyeliner, Grey, 0.04 oz",Beauty,Makeup,2024-01-22 16:10:00.000
00021500000529,LAWRY'S  SEASONED SALT,Pantry,Spices & Seasonings,2023-12-03 15:04:00.000
00034000004805,REESES MILK CHOCOLATE PEANUT BUTTER CUP KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00034000004805,REESES MILK CHOCOLATE PEANUT BUTTER CUP KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00041554220094,Instant Age Rewind Eraser Foundation,Beauty,Makeup,2023-12-05 12:49:00.000
00051141347035,"Command™ Clear Small Wire Hooks, 9 Hooks, 12 Strips",Home Décor,Wall Décor,2024-01-03 14:48:00.000
00046000821214,Old El Paso Traditional Refried Beans Canned 16-Ounce,Pantry,Canned Foods,2024-01-23 12:48:00.000
00046000821214,Old El Paso Traditional Refried Beans Canned 16-Ounce,Pantry,International,2024-01-23 12:48:00.000
00031000670405,"P.F. Chang’s Home Menu Sesame Sauce, 13.5 OZ",Pantry,Condiments & Salad Dressings,2023-12-15 12:32:00.000
00883990661846,good2grow Strawberry Kiwi Spout,Beverages,Juice,2024-01-05 09:31:00.000
00034000040292,CADBURY DAIRY MILK FRUIT & NUT (MILK CHOCOLATE WITH RAISINS & ALMONDS) X-LARGE BAR,Candy,Chocolate,2023-12-05 11:46:00.000
00034000040292,CADBURY DAIRY MILK FRUIT & NUT (MILK CHOCOLATE WITH RAISINS & ALMONDS) X-LARGE BAR,Candy,Chocolate,2023-12-05 11:46:00.000
00888109110611,"HOSTESS Chocolate DING DONGS, Creamy Filling, Individually Wrapped Chocolate Snack Cakes – 10 count / 12.70 oz",Pantry,Snacks,2024-01-16 09:47:00.000
00013300533017,Martha White Mexican Style Cornbread Mix,Pantry,Baking & Cooking,2024-01-11 16:21:00.000
00764302280200,SheaMoisture Shampoo Moist Retention 13 FO,Beauty,Hair Care,2024-01-22 11:41:00.000
00764302280200,SheaMoisture Shampoo Moist Retention 13 FO,Personal Care,Hair Care,2024-01-22 11:41:00.000
00038000184680,Pringles Crisps 4 Flavors,Pantry,Snacks,2024-01-23 16:34:00.000
00014100043379,"Pepperidge Farm Golden Potato Slider Buns, 12-Pack Bag",Pantry,"Bread, Buns & Rolls",2024-01-17 22:46:00.000
00051500025185,Smucker's 19.25 Ounce Sugar Free Caramel Sundae Syrup,Pantry,Baking & Cooking,2023-12-12 08:34:00.000
00762111980403,STARBUCKS Fall Blend Ground Coffee 10oz Bag,Beverages,Coffee,2024-01-11 12:25:00.000
00041143090800,Sun-Maid® Chocolate Yogurt Covered Raisins Dried Fruit Snack,Pantry,Snacks,2023-12-29 09:16:00.000
00016000459007,Betty Crocker Rich & Creamy Milk Chocolate Frosting,Pantry,Baking & Cooking,2024-01-23 12:09:00.000
00041565193110,"Pace Salsa Con Queso Cheese Dip, Medium, 15 oz Jar",Pantry,Snacks,2023-12-09 14:18:00.000
00041565193110,"Pace Salsa Con Queso Cheese Dip, Medium, 15 oz Jar",Pantry,Condiments & Salad Dressings,2023-12-09 14:18:00.000
00041565193110,"Pace Salsa Con Queso Cheese Dip, Medium, 15 oz Jar",Pantry,Condiments & Salad Dressings,2023-12-09 14:18:00.000
00802763081544,Sunsweet 8 oz Pouch Pitted Dates,Pantry,Snacks,2023-12-29 11:01:00.000
00034000000982,ICE BREAKERS SOURS WATERMELON GREEN APPLE AND TANGERINE FLAVORED MINTS TIN,Candy,Gum & Mints,2024-01-18 08:43:00.000
00021908408019,Cascadian Farm Organic Dark Chocolate Chip Chewy Granola Bar,Pantry,Snacks,2024-01-10 06:08:00.000
00021908505589,Cascadian Farm Organic Vanilla Chip Chewy Granola Bar,Pantry,Snacks,2024-01-10 06:04:00.000
10041196805489,Progresso Reduced Sodium Roasted Chicken Noodle Soup,Pantry,Canned Foods,2023-12-08 08:06:00.000
00016000420670,Nature Valley Sweet & Salty Nut Peanut Granola Bars 16 Count,Pantry,Snacks,2024-01-23 10:30:00.000
00037000886341,Always Discreet Light Adult Incontinence No Perfume,Personal Care,Incontinence,2024-01-16 20:40:00.000
10021500010426,ADOLPH'S  SEASONED TENDERIZER,Pantry,Spices & Seasonings,2023-12-21 06:34:00.000
00045893080531,Dove Shampoo INTENSIVE REPAIR 12 FO,Beauty,Hair Care,2023-12-22 10:48:00.000
00045893080531,Dove Shampoo INTENSIVE REPAIR 12 FO,Personal Care,Hair Care,2023-12-22 10:48:00.000
00017000029344,Dial Foaming Hand Wash AB Fresh Pear 6/7.5 floz US,Personal Care,Hand Soap & Sanitizer,2023-12-01 08:41:00.000
00043000950654,"Crystal Light Lemonade Naturally Flavored Powdered Drink Mix, 6 ct Pitcher Packets",Beverages,Drink Mixes & Beverage Enhancers,2024-01-16 09:22:00.000
00051000038852,"Campbell's Chunky Soup, Classic Chicken Noodle Soup, 18.6 Oz Can",Pantry,Canned Foods,2023-12-01 06:25:00.000
00052000208054,Gatorade Thirst Quencher Lemon Lime 20 Fl Oz 8 Count,Beverages,Sports Drinks,2024-01-18 09:40:00.000
00014100049203,"Pepperidge Farm Goldfish Mix Cheddar + Zesty Cheddar + Parmesan Crackers, 11 oz. Resealable Bag",Pantry,Snacks,2024-01-09 15:50:00.000
00012044039632,"Old Spice Anti-Perspirant Deodorant for Men, Bearglove, 2.6 Oz",Personal Care,Deodorants/Antiperspirant,2024-01-22 08:32:00.000
00014100048077,"Pepperidge Farm Chessmen Butter Cookies Multipack, 8 Packs, 3 Cookies per Pack",Pantry,Cookies,2024-01-13 07:02:00.000
00014100048077,"Pepperidge Farm Chessmen Butter Cookies Multipack, 8 Packs, 3 Cookies per Pack",Pantry,Cookies,2024-01-13 07:02:00.000
00014100079521,"Pepperidge Farm Chessmen Butter Cookies, 7.25 OZ Bag (24 Cookies)",Pantry,Cookies,2024-01-18 06:05:00.000
00071249081129,"L'Oreal Paris Colour Riche Lip Liner, Always Red, 0.01 oz",Beauty,Makeup,2023-12-13 09:31:00.000
00041554220155,Instant Age Rewind Eraser Foundation,Beauty,Makeup,2023-12-05 12:49:00.000
00074182445713,Softsoap Antibacterial Liquid Hand Wash Crisp Clean,Personal Care,Hand Soap & Sanitizer,2024-01-12 09:02:00.000
10041196404811,Progresso Light Beef Pot Roast Soup,Pantry,Canned Foods,2023-12-08 08:06:00.000
00041196440829,Progresso Light Chicken Pot Pie Style Soup,Pantry,Canned Foods,2023-12-08 08:03:00.000
00099555080612,"Green Mountain Coffee Roasters, Dark Magic, Dark Roast, Keurig Single-Serve K-Cup Coffe Pods, 12 Count",Beverages,Coffee,2024-01-03 12:28:00.000
00051500255162,JIF 16 OUNCE CREAMY PEANUT BUTTER,Pantry,"Spreads, Jelly & Honey",2024-01-16 08:48:00.000
00051500255162,JIF 16 OUNCE CREAMY PEANUT BUTTER,Pantry,"Spreads, Jelly & Honey",2024-01-16 08:48:00.000
00037000956624,"Crest Scope Classic Mouthwash, Original Mint, 1L",Personal Care,Oral Care,2024-01-23 10:09:00.000
00014100047148,"Goldfish Crackers Big Smiles Variety Pack with Cheddar, Colors, and Pretzels, Snack Packs, 30 Ct",Pantry,Snacks,2024-01-09 15:37:00.000
00014100047148,"Goldfish Crackers Big Smiles Variety Pack with Cheddar, Colors, and Pretzels, Snack Packs, 30 Ct",Pantry,Snacks,2024-01-09 15:37:00.000
